video_stem,filename,raw_folder,subject_id,g_group,sink_name,step_code,merged_class,merged_class_idx,split
HandWash_001_A_01_G01,HandWash_001_A_01_G01.mp4,Step_1,1,G01,DarkSteelSink1,1,step1_palma_palma,0,train
HandWash_002_A_01_G01,HandWash_002_A_01_G01.mp4,Step_1,2,G01,DarkSteelSink1,1,step1_palma_palma,0,test
HandWash_003_A_01_G01,HandWash_003_A_01_G01.mp4,Step_1,3,G01,DarkSteelSink1,1,step1_palma_palma,0,train
HandWash_004_A_01_G01,HandWash_004_A_01_G01.mp4,Step_1,4,G01,DarkSteelSink1,1,step1_palma_palma,0,val
HandWash_005_A_01_G01,HandWash_005_A_01_G01.mp4,Step_1,5,G01,DarkSteelSink1,1,step1_palma_palma,0,train
HandWash_006_A_01_G01,HandWash_006_A_01_G01.mp4,Step_1,6,G01,LightSteelSink1,1,step1_palma_palma,0,train
HandWash_007_A_01_G01,HandWash_007_A_01_G01.mp4,Step_1,7,G01,LightSteelSink1,1,step1_palma_palma,0,test
HandWash_008_A_01_G01,HandWash_008_A_01_G01.mp4,Step_1,8,G01,LightSteelSink1,1,step1_palma_palma,0,train
HandWash_009_A_01_G02,HandWash_009_A_01_G02.mp4,Step_1,9,G02,CeramicSink1,1,step1_palma_palma,0,train
HandWash_010_A_01_G02,HandWash_010_A_01_G02.mp4,Step_1,10,G02,CeramicSink1,1,step1_palma_palma,0,train
HandWash_011_A_01_G02,HandWash_011_A_01_G02.mp4,Step_1,11,G02,CeramicSink1,1,step1_palma_palma,0,train
HandWash_012_A_01_G03,HandWash_012_A_01_G03.mp4,Step_1,12,G03,SmallCeramicSink6,1,step1_palma_palma,0,train
HandWash_013_A_01_G03,HandWash_013_A_01_G03.mp4,Step_1,13,G03,SmallCeramicSink6,1,step1_palma_palma,0,test
HandWash_014_A_01_G03,HandWash_014_A_01_G03.mp4,Step_1,14,G03,SmallCeramicSink6,1,step1_palma_palma,0,train
HandWash_015_A_01_G04,HandWash_015_A_01_G04.mp4,Step_1,15,G04,LightGraniteSink1,1,step1_palma_palma,0,train
HandWash_016_A_01_G04,HandWash_016_A_01_G04.mp4,Step_1,16,G04,LightGraniteSink1,1,step1_palma_palma,0,val
HandWash_017_A_01_G04,HandWash_017_A_01_G04.mp4,Step_1,17,G04,LightGraniteSink1,1,step1_palma_palma,0,train
HandWash_018_A_01_G05,HandWash_018_A_01_G05.mp4,Step_1,18,G05,CeramicSink2,1,step1_palma_palma,0,train
HandWash_019_A_01_G05,HandWash_019_A_01_G05.mp4,Step_1,19,G05,CeramicSink2,1,step1_palma_palma,0,test
HandWash_020_A_01_G05,HandWash_020_A_01_G05.mp4,Step_1,20,G05,CeramicSink2,1,step1_palma_palma,0,train
HandWash_021_A_01_G05,HandWash_021_A_01_G05.mp4,Step_1,21,G05,CeramicSink2,1,step1_palma_palma,0,val
HandWash_022_A_01_G05,HandWash_022_A_01_G05.mp4,Step_1,22,G05,CeramicSink2,1,step1_palma_palma,0,val
HandWash_023_A_01_G05,HandWash_023_A_01_G05.mp4,Step_1,23,G05,CeramicSink2,1,step1_palma_palma,0,train
HandWash_024_A_01_G05,HandWash_024_A_01_G05.mp4,Step_1,24,G05,CeramicSink2,1,step1_palma_palma,0,test
HandWash_025_A_01_G05,HandWash_025_A_01_G05.mp4,Step_1,25,G05,CeramicSink2,1,step1_palma_palma,0,train
HandWash_001_A_02_G_01,HandWash_001_A_02_G_01.mp4,Step_2_Left,1,G01,DarkSteelSink1,2,step2_palma_dorso,1,train
HandWash_002_A_02_G_01,HandWash_002_A_02_G_01.mp4,Step_2_Left,2,G01,DarkSteelSink1,2,step2_palma_dorso,1,test
HandWash_003_A_02_G_01,HandWash_003_A_02_G_01.mp4,Step_2_Left,3,G01,DarkSteelSink1,2,step2_palma_dorso,1,train
HandWash_004_A_02_G_01,HandWash_004_A_02_G_01.mp4,Step_2_Left,4,G01,DarkSteelSink1,2,step2_palma_dorso,1,val
HandWash_005_A_02_G_01,HandWash_005_A_02_G_01.mp4,Step_2_Left,5,G01,DarkSteelSink1,2,step2_palma_dorso,1,train
HandWash_006_A_02_G_01,HandWash_006_A_02_G_01.mp4,Step_2_Left,6,G01,LightSteelSink1,2,step2_palma_dorso,1,train
HandWash_007_A_02_G_01,HandWash_007_A_02_G_01.mp4,Step_2_Left,7,G01,LightSteelSink1,2,step2_palma_dorso,1,test
HandWash_008_A_02_G_01,HandWash_008_A_02_G_01.mp4,Step_2_Left,8,G01,LightSteelSink1,2,step2_palma_dorso,1,train
HandWash_009_A_02_G_02,HandWash_009_A_02_G_02.mp4,Step_2_Left,9,G02,CeramicSink1,2,step2_palma_dorso,1,train
HandWash_010_A_02_G_02,HandWash_010_A_02_G_02.mp4,Step_2_Left,10,G02,CeramicSink1,2,step2_palma_dorso,1,train
HandWash_011_A_02_G_02,HandWash_011_A_02_G_02.mp4,Step_2_Left,11,G02,CeramicSink1,2,step2_palma_dorso,1,train
HandWash_012_A_02_G_03,HandWash_012_A_02_G_03.mp4,Step_2_Left,12,G03,SmallCeramicSink6,2,step2_palma_dorso,1,train
HandWash_013_A_02_G_03,HandWash_013_A_02_G_03.mp4,Step_2_Left,13,G03,SmallCeramicSink6,2,step2_palma_dorso,1,test
HandWash_014_A_02_G_03,HandWash_014_A_02_G_03.mp4,Step_2_Left,14,G03,SmallCeramicSink6,2,step2_palma_dorso,1,train
HandWash_015_A_02_G_04,HandWash_015_A_02_G_04.mp4,Step_2_Left,15,G04,LightGraniteSink1,2,step2_palma_dorso,1,train
HandWash_016_A_02_G_04,HandWash_016_A_02_G_04.mp4,Step_2_Left,16,G04,LightGraniteSink1,2,step2_palma_dorso,1,val
HandWash_017_A_02_G_04,HandWash_017_A_02_G_04.mp4,Step_2_Left,17,G04,LightGraniteSink1,2,step2_palma_dorso,1,train
