video_stem,filename,class_name,subject_id,split
phone_step1_001,phone_step1_001.mp4,step1_palma_palma,arthur,train
phone_step2_001,phone_step2_001.mp4,step2_palma_dorso,arthur,train
phone_step3_001,phone_step3_001.mp4,step3_palma_entrelacada,arthur,train
phone_step4_001,phone_step4_001.mp4,step4_dorso_dedos,arthur,train
phone_step5_001,phone_step5_001.mp4,step5_polegar,arthur,train
phone_step6_001,phone_step6_001.mp4,step6_unhas_palma,arthur,train
phone_step7_001,phone_step7_001.mp4,step7_pulso,arthur,train
phone_step1_002,phone_step1_002.mp4,step1_palma_palma,arthur,train
phone_step2_002,phone_step2_002.mp4,step2_palma_dorso,arthur,train
phone_step3_002,phone_step3_002.mp4,step3_palma_entrelacada,arthur,train
phone_step4_002,phone_step4_002.mp4,step4_dorso_dedos,arthur,train
phone_step5_002,phone_step5_002.mp4,step5_polegar,arthur,train
phone_step6_002,phone_step6_002.mp4,step6_unhas_palma,arthur,train
phone_step7_002,phone_step7_002.mp4,step7_pulso,arthur,train
phone_step1_003,phone_step1_003.mp4,step1_palma_palma,arthur,train
phone_step2_003,phone_step2_003.mp4,step2_palma_dorso,arthur,train
phone_step3_003,phone_step3_003.mp4,step3_palma_entrelacada,arthur,train
phone_step4_003,phone_step4_003.mp4,step4_dorso_dedos,arthur,train
phone_step5_003,phone_step5_003.mp4,step5_polegar,arthur,train
phone_step6_003,phone_step6_003.mp4,step6_unhas_palma,arthur,train
phone_step7_003,phone_step7_003.mp4,step7_pulso,arthur,train
