split_row_idx,video_stem,subject_id,g_group,split,class_name,class_idx,window_idx,start_frame,start_time_sec
0,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,0,0,0.0
1,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,1,8,0.5333
2,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,2,16,1.0667
3,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,3,24,1.6
4,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,4,32,2.1333
5,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,5,40,2.6667
6,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,6,48,3.2
7,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,7,56,3.7333
8,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,8,64,4.2667
9,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,9,72,4.8
10,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,10,80,5.3333
11,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,11,88,5.8667
12,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,12,96,6.4
13,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,13,104,6.9333
14,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,14,112,7.4667
15,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,15,120,8.0
16,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,16,128,8.5333
17,HandWash_001_A_01_G01,1,G01,train,step1_palma_palma,0,17,136,9.0667
0,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,0,0,0.0
1,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,1,15,1.0
2,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,2,30,2.0
3,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,3,45,3.0
4,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,4,60,4.0
5,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,5,75,5.0
6,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,6,90,6.0
7,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,7,105,7.0
8,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,8,120,8.0
9,HandWash_002_A_01_G01,2,G01,test,step1_palma_palma,0,9,135,9.0
18,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,0,0,0.0
19,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,1,8,0.5333
20,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,2,16,1.0667
21,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,3,24,1.6
22,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,4,32,2.1333
23,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,5,40,2.6667
24,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,6,48,3.2
25,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,7,56,3.7333
26,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,8,64,4.2667
27,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,9,72,4.8
28,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,10,80,5.3333
29,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,11,88,5.8667
30,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,12,96,6.4
31,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,13,104,6.9333
32,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,14,112,7.4667
33,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,15,120,8.0
34,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,16,128,8.5333
35,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,17,136,9.0667
36,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,18,144,9.6
37,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,19,152,10.1333
38,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,20,160,10.6667
39,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,21,168,11.2
40,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,22,176,11.7333
41,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,23,184,12.2667
42,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,24,192,12.8
43,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,25,200,13.3333
44,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,26,208,13.8667
45,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,27,216,14.4
46,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,28,224,14.9333
47,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,29,232,15.4667
48,HandWash_003_A_01_G01,3,G01,train,step1_palma_palma,0,30,240,16.0
0,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,0,0,0.0
1,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,1,15,1.0
2,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,2,30,2.0
3,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,3,45,3.0
4,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,4,60,4.0
5,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,5,75,5.0
6,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,6,90,6.0
7,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,7,105,7.0
8,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,8,120,8.0
9,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,9,135,9.0
10,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,10,150,10.0
11,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,11,165,11.0
12,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,12,180,12.0
13,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,13,195,13.0
14,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,14,210,14.0
15,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,15,225,15.0
16,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,16,240,16.0
17,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,17,255,17.0
18,HandWash_004_A_01_G01,4,G01,val,step1_palma_palma,0,18,270,18.0
49,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,0,0,0.0
50,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,1,8,0.5333
51,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,2,16,1.0667
52,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,3,24,1.6
53,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,4,32,2.1333
54,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,5,40,2.6667
55,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,6,48,3.2
56,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,7,56,3.7333
57,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,8,64,4.2667
58,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,9,72,4.8
59,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,10,80,5.3333
60,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,11,88,5.8667
61,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,12,96,6.4
62,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,13,104,6.9333
63,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,14,112,7.4667
64,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,15,120,8.0
65,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,16,128,8.5333
66,HandWash_005_A_01_G01,5,G01,train,step1_palma_palma,0,17,136,9.0667
67,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,0,0,0.0
68,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,1,8,0.5333
69,HandWash_006_A_01_G01,6,G01,train,step1_palma_palma,0,2,16,1.0667
