video_stem,npz_relpath,n_frames,native_fps_used,detection_rate_left,detection_rate_right,detection_rate_overall
HandWash_001_A_01_G01,HandWash_001_A_01_G01.npz,338,30.09,0.9142,0.8136,0.8639
HandWash_002_A_01_G01,HandWash_002_A_01_G01.npz,338,30.09,0.8787,0.7041,0.7914
HandWash_003_A_01_G01,HandWash_003_A_01_G01.npz,541,30.06,0.9168,0.4159,0.6664
HandWash_004_A_01_G01,HandWash_004_A_01_G01.npz,614,30.05,0.9495,0.5684,0.759
HandWash_005_A_01_G01,HandWash_005_A_01_G01.npz,338,30.09,0.9142,0.8136,0.8639
HandWash_006_A_01_G01,HandWash_006_A_01_G01.npz,541,30.06,0.8909,0.4935,0.6922
HandWash_007_A_01_G01,HandWash_007_A_01_G01.npz,679,30.04,0.9426,0.3859,0.6642
HandWash_008_A_01_G01,HandWash_008_A_01_G01.npz,544,30.06,0.9118,0.5037,0.7077
HandWash_009_A_01_G02,HandWash_009_A_01_G02.npz,476,30.06,0.979,0.8298,0.9044
HandWash_010_A_01_G02,HandWash_010_A_01_G02.npz,474,30.06,0.8059,0.8354,0.8207
HandWash_011_A_01_G02,HandWash_011_A_01_G02.npz,679,30.04,0.7806,0.7806,0.7806
HandWash_012_A_01_G03,HandWash_012_A_01_G03.npz,538,30.06,0.6004,1.0,0.8002
HandWash_013_A_01_G03,HandWash_013_A_01_G03.npz,472,30.06,0.7373,0.9979,0.8676
HandWash_014_A_01_G03,HandWash_014_A_01_G03.npz,610,30.05,0.6951,1.0,0.8475
HandWash_015_A_01_G04,HandWash_015_A_01_G04.npz,546,30.06,0.9524,0.9121,0.9322
HandWash_016_A_01_G04,HandWash_016_A_01_G04.npz,615,30.05,0.9528,0.8163,0.8846
HandWash_017_A_01_G04,HandWash_017_A_01_G04.npz,344,30.09,0.8517,0.8663,0.859
HandWash_018_A_01_G05,HandWash_018_A_01_G05.npz,321,30.09,0.2025,1.0,0.6012
HandWash_019_A_01_G05,HandWash_019_A_01_G05.npz,302,30.1,0.2881,0.9967,0.6424
HandWash_020_A_01_G05,HandWash_020_A_01_G05.npz,314,30.1,0.4045,0.9745,0.6895
HandWash_021_A_01_G05,HandWash_021_A_01_G05.npz,491,30.06,0.835,0.9532,0.8941
HandWash_022_A_01_G05,HandWash_022_A_01_G05.npz,415,30.07,0.1277,0.9759,0.5518
HandWash_023_A_01_G05,HandWash_023_A_01_G05.npz,532,30.06,0.1692,0.9323,0.5508
HandWash_024_A_01_G05,HandWash_024_A_01_G05.npz,398,30.08,0.2085,0.995,0.6018
HandWash_025_A_01_G05,HandWash_025_A_01_G05.npz,300,30.1,0.67,0.95,0.81
HandWash_001_A_02_G_01,HandWash_001_A_02_G_01.npz,334,30.09,0.3892,0.2605,0.3249
HandWash_002_A_02_G_01,HandWash_002_A_02_G_01.npz,334,30.09,0.8593,0.1317,0.4955
HandWash_003_A_02_G_01,HandWash_003_A_02_G_01.npz,398,30.08,0.9548,0.6633,0.809
HandWash_004_A_02_G_01,HandWash_004_A_02_G_01.npz,401,30.08,0.9202,0.808,0.8641
